ID	Приоритет	Раздел	Заголовок	Предусловие	Шаги	Ожидаемый результат	Автоматизация (Да/Нет)	Причина отказа от автоматизации
TC-014	High	Новости	Просмотр полного списка новостей (скролл до конца)	Пользователь авторизован, открыт раздел "Новости"	1. Прокрутить список вниз до конца. 2. Проверить отображение всех элементов.	Все новости отображаются, скролл плавный, нет обрезания элементов.	Нет	Сложная логика UI с кастомным RecyclerView, нестабильные локаторы.
TC-015	Medium	Новости	Проверка работы кнопок сортировки (стрелки вверх/вниз у заголовка)	Пользователь авторизован, открыт раздел "Новости", есть минимум 2 новости	1. Нажать кнопку "Вверх" у заголовка. 2. Проверить порядок списка. 3. Нажать кнопку "Вниз" у заголовка. 4. Проверить порядок списка.	При нажатии "Вверх" нижняя новость смещается вверх; при нажатии "Вниз" верхняя новость смещается вниз, UI стабилен.	Нет	Сложная логика UI с кастомным RecyclerView, нестабильные локаторы.
TC-016	Medium	Новости	Открытие формы фильтрации	Пользователь авторизован, открыт раздел "Новости"	1. Нажать кнопку "Фильтровать новости". 2. Проверить отображение формы.	Появляется окно с полями для фильтрации, элементы формы доступны.	Нет	Сложная логика UI с кастомным календарём, нестабильные элементы.
TC-017	Medium	Новости	Применение фильтра по категории	Пользователь авторизован, открыт раздел "Новости"	1. Выбрать из выпадающего списка категорию "Зарплата". 2. Заполнить остальные поля. 3. Нажать "Фильтровать".	Отображаются только новости выбранной категории, остальные скрыты.	Нет	Сложная логика UI с кастомным календарём и выпадающими списками.
TC-018	Medium	Новости	Применение фильтра по дате	Пользователь авторизован, открыт раздел "Новости"	1. С помощью кастомного календаря выбрать дату начала и окончания. 2. Нажать "Фильтровать".	Отображаются новости за указанный период, результат соответствует диапазону.	Нет	Сложная логика UI с кастомным календарём.
TC-019	Medium	Новости	Фильтрация с датами будущего времени	Пользователь авторизован, открыт раздел "Новости"	1. Ввести дату начала > текущей даты. 2. Нажать "Фильтровать".	Появляется сообщение "Здесь пока ничего нет...", список пуст.	Нет	Сложная логика UI с кастомным календарём.
TC-020	Medium	Новости	Проверка кнопки "Отмена" в форме фильтрации	Пользователь авторизован, открыта форма фильтрации новостей	1. Нажать кнопку "Отмена" в форме фильтрации.	Форма закрывается, пользователь возвращается в раздел "Новости", применённые фильтры сбрасываются.	Нет	Сложная логика UI (кастомные элементы формы), возможны проблемы с локаторами в автоматизации.
TC-021	High	Новости	Создание новости с валидными данными	Пользователь авторизован, открыт раздел "Новости"	1. Нажать кнопку "+". 2. Ввести заголовок "Тестовая новость". 3. Ввести описание "Описание тестовой новости". 4. Выбрать категорию "Объявление". 5. Нажать "Сохранить".	Новость появляется в списке, данные сохранены, дата создания корректна.	Да	—
TC-022	High	Новости	Проверка автоматических атрибутов (дата, автор)	Пользователь авторизован, создана новость	1. Открыть карточку созданной новости. 2. Проверить значения полей "Автор" и "Дата публикации".	Автоматически проставленные значения соответствуют текущему пользователю и текущей дате, формат корректен.	Нет	Логика автозаполнения требует ручной проверки и уточнения требований.
TC-023	Medium	Новости	Создание новости без выбора категории	Пользователь авторизован, открыта форма создания новости	1. Заполнить заголовок и описание. 2. Не выбирать категорию. 3. Нажать "Сохранить".	Появляется предупреждение в виде красного восклицательного знака и сообщение "Заполните пустые поля", новость не сохраняется.	Да	—
TC-024	Medium	Новости	Создание новости с пустым заголовком	Пользователь авторизован, открыта форма создания новости	1. Оставить заголовок пустым. 2. Заполнить описание. 3. Выбрать категорию "Объявление". 4. Нажать "Сохранить".	Появляется предупреждение "Заполните пустые поля", новость не сохраняется.	Да	—
TC-025	Medium	Новости	Создание новости с пустым описанием	Пользователь авторизован, открыта форма создания новости	1. Ввести заголовок. 2. Оставить описание пустым. 3. Выбрать категорию "Зарплата". 4. Нажать "Сохранить".	Появляется предупреждение "Заполните пустые поля", новость не сохраняется.	Да	—
TC-026	Medium	Новости	Создание новости с пробелами в начале заголовка	Пользователь авторизован, открыта форма создания новости	1. Ввести заголовок с пробелами в начале. 2. Заполнить описание. 3. Выбрать категорию "Массаж". 4. Нажать "Сохранить".	Заголовок сохраняется без пробелов в начале (происходит trim), верстка не ломается.	Нет	Требуется ручная проверка форматирования текста и отображения.
TC-027	Medium	Новости	Проверка валидации заголовка: запрет бессмысленных спецсимволов	Пользователь авторизован, открыта форма создания новости	1. Ввести в заголовок бессмысленные спецсимволы ("!!!@@@###"). 2. Заполнить остальные поля. 3. Нажать "Сохранить".	Система отклоняет ввод либо не сохраняет новость, появляется сообщение о недопустимых символах.	Нет	Сложность проверки корректного отображения спецсимволов в автоматизации.
TC-028	Medium	Новости	Обработка допустимых спецсимволов в типичном заголовке	Пользователь авторизован, открыта форма создания новости	1. Ввести заголовок "Внимание!". 2. Заполнить описание и категорию. 3. Нажать "Сохранить".	Заголовок "Внимание!" успешно сохранён, спецсимвол "!" корректно отображается в карточке и списке.	Нет	Требуется ручная проверка корректности отображения спецсимволов.
TC-029	Medium	Новости	Проверка ограничения длины заголовка при вводе	Пользователь авторизован, открыта форма создания новости	1. Попытаться ввести заголовок длиннее максимально допустимой длины. 2. Проверить поведение поля.	Поле ограничивает ввод до максимальной длины либо обрезает ввод, верстка не ломается.	Нет	Граничные значения длины требуют ручного тестирования из‑за риска обрезки UI.
TC-030	Medium	Новости	Редактирование заголовка существующей новости	Пользователь авторизован, в разделе "Новости" есть созданная новость	1. Нажать на новость. 2. Выбрать "Редактировать". 3. Изменить заголовок. 4. Нажать "Сохранить".	Заголовок новости изменяется в списке, изменения сохранены.	Да	—
TC-031	High	Новости	Удаление новости с подтверждением	Пользователь авторизован, в разделе "Новости" есть новость	1. Нажать на новость. 2. Выбрать "Удалить". 3. В диалоге нажать "Да".	Новость исчезает из списка, UI обновляется.	Да	—
TC-032	Medium	Новости	Валидация пустого описания при редактировании новости	Пользователь авторизован, открыта карточка новости для редактирования	1. Очистить поле "Описание". 2. Нажать "Сохранить".	Появляется сообщение "Заполните пустые поля", изменения не сохраняются.	Да	—
TC-033	Medium	Новости	Обновление списка новостей (Pull‑to‑Refresh) в разделе Новости	Пользователь авторизован, открыт раздел "Новости"	1. Сделать жест "потянуть вниз". 2. Дождаться обновления. 3. Повторить 3 раза подряд.	Список стабильно обновляется при каждом жесте, индикатор загрузки отображается.	Да	—
TC-034	Medium	Новости	Создание новости с очень длинным описанием (граничная длина)	Пользователь авторизован, открыта форма создания новости	1. Ввести очень длинное описание (на граничную длину). 2. Заполнить остальные поля. 3. Нажать "Сохранить".	Поле ограничивает длину либо корректно отображает длинный текст, новость сохраняется.	Нет	Граничные значения длины требуют ручного тестирования.
TC-035	Medium	Новости	Создание новости с эмодзи в заголовке и описании	Пользователь авторизован, открыта форма создания новости	1. Ввести эмодзи в заголовок и описание. 2. Заполнить категорию. 3. Нажать "Сохранить".	Эмодзи отображаются корректно, приложение не падает.	Нет	Требуется ручная проверка корректного отображения эмодзи.
TC-036	High	Новости	Проверка уникальности заголовка новости	Пользователь авторизован, есть новость с заголовком "Тестовая новость"	1. Создать ещё одну новость с заголовком "Тестовая новость". 2. Нажать "Сохранить".	Система не сохраняет дубликат, появляется предупреждение о неуникальности заголовка.	Нет	Требуется ручная проверка логики уникальности и сообщений.
TC-037	High	Новости	Попытка сортировки первой новости вверх	Пользователь авторизован, открыт раздел "Новости", выбрана первая новость	1. Найти кнопку сортировки "Вверх". 2. Попытаться нажать.	Кнопка "Вверх" отсутствует либо неактивна, сортировка невозможна.	Нет	Сложная логика UI, нестабильные локаторы.
TC-038	High	Новости	Попытка сортировки последней новости вниз	Пользователь авторизован, открыт раздел "Новости", выбрана последняя новость	1. Найти кнопку сортировки "Вниз". 2. Попытаться нажать.	Кнопка "Вниз" отсутствует либо неактивна, сортировка невозможна.	Нет	Сложная логика UI, нестабильные локаторы.
TC-039	Medium	Новости	Многократный Pull‑to‑Refresh подряд (5–10 раз)	Пользователь авторизован, открыт раздел "Новости"	1. Сделать 5–10 жестов "потянуть вниз" подряд. 2. Следить за стабильностью UI.	Нет зависаний, список обновляется, индикатор не «залипает».	Да	—
TC-040	Medium	Новости	Быстрый двойной клик по кнопке "Сохранить" при создании новости	Пользователь авторизован, открыта форма создания новости	1. Дважды быстро нажать "Сохранить" подряд. 2. Проверить результат.	Создаётся только одна новость, нет дублей.	Да	—
TC-041	Medium	Новости	Быстрый двойной клик по кнопке "Удалить" новости	Пользователь авторизован, в списке есть новость	1. Дважды быстро нажать кнопку "Удалить".	Диалог подтверждения появляется, удаление происходит только после подтверждения, нет двойного удаления.	Да	—
TC-042	Medium	Новости	Возврат назад из формы создания новости без сохранения	Пользователь авторизован, открыта форма создания новости	1. Нажать кнопку возврата/отмены. 2. Проверить список новостей.	Форму удаётся закрыть, черновик не сохраняется, список новостей не меняется.	Да	—
TC-043	High	Новости	Поведение списка новостей при слабом соединении (эмуляция плохой сети)	Пользователь авторизован, открыт раздел "Новости"	1. Эмулировать плохое соединение. 2. Обновить список (Pull‑to‑Refresh).	Отображается кэш новостей, сообщение об ошибке понятное и информативное.	Нет	Эмуляция сети и проверка кэша требуют ручной проверки и настройки тестового окружения.
TC-044	Medium	Новости	Проверка отображения длинного заголовка в карточке новости	Пользователь авторизован, есть новость с длинным заголовком	1. Открыть карточку новости с длинным заголовком. 2. Проверить отображение.	Заголовок корректно переносится и обрезается многоточием, верстка карточки не ломается.	Нет	Требуется ручная проверка верстки и обрезки текста.
TC-045	Medium	Цитаты	Переход в раздел "Цитаты" из меню	Пользователь авторизован (login2/password2)	1. Нажать на иконку раздела цитат (бабочка).	Открыт раздел "Цитаты", отображается список цитат.	Да	—
TC-046	Medium	Цитаты	Разворачивание цитаты по иконке раскрытия	Пользователь авторизован, открыт раздел "Цитаты"	1. Нажать на иконку раскрытия рядом с цитатой. 2. Проверить отображение текста.	Текст цитаты разворачивается полностью под заголовком, верстка стабильна.	Да	—
TC-047	Medium	Цитаты	Сворачивание цитаты повторным нажатием	Пользователь авторизован, цитата развёрнута	1. Снова нажать на иконку раскрытия. 2. Проверить отображение.	Текст цитаты сворачивается обратно, виден только заголовок.	Да	—
TC-048	Low	Цитаты	Закрытие выпадающего списка цитат (нажатие вне элемента)	Пользователь авторизован, открыто несколько развёрнутых цитат	1. Нажать в любую область вне развёрнутой цитаты. 2. Проверить состояние всех цитат.	Все выпадающие списки цитат закрываются, UI возвращается в исходное состояние.	Нет	Сложность эмуляции нажатия вне элемента в автоматизации.
